v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,stkcd,dt
,,0,4,0,1,0,4,26,45,-1,0,1,0,1,1868,1,1,0,1,1,0,,,1,1,000001,2013
1,1,0,26,2,1,0,8,11,47,11663,0,0,0,1,27951,1,0,0,1,1,0,1,1,1,1,000002,2011
1,1,0,24,2,1,0,8,11,47,13526,0,1,0,1,31019,1,0,0,1,1,0,1,1,1,1,000002,2012
1,1,0,28,2,1,0,8,11,48,15705,0,1,0,0,35330,1,0,1,1,1,0,1,1,1,1,000002,2013
1,1,0,5,4,1,0,4,5,46,88,0,1,0,0,322,1,1,0,0,0,0,1,1,1,1,000004,2011
1,1,0,5,6,1,0,4,6,47,165,0,1,0,0,277,1,1,0,0,0,0,1,1,1,1,000004,2012
1,1,0,5,1,1,0,3,4,41,136,0,2,0,1,243,1,1,0,0,0,0,1,1,1,1,000004,2013
1,1,0,9,0,1,0,2,2,44,196,0,0,0,0,501,1,1,0,1,0,0,1,1,0,1,000005,2011
1,1,0,9,0,1,0,2,2,45,130,0,0,0,1,382,1,1,1,1,0,0,1,1,0,1,000005,2012
1,1,0,4,0,1,0,1,1,46,121,0,0,0,1,376,1,1,1,1,0,0,1,1,0,1,000005,2013
1,1,0,11,-1,1,1,5,6,49,274,0,0,0,1,283,1,0,0,1,1,1,1,1,1,1,000006,2011
1,1,0,7,0,1,0,6,7,46,209,1,0,0,0,290,1,0,0,1,1,1,1,1,1,1,000006,2012
1,1,0,7,0,1,0,5,7,46,289,1,0,0,1,296,1,0,0,1,1,1,1,1,1,1,000006,2013
1,1,0,6,0,1,0,0,5,49,174,0,0,1,1,675,1,0,0,0,1,1,1,1,1,1,000007,2011
1,1,0,6,0,1,0,0,5,50,184,0,0,1,1,762,1,0,0,0,1,1,1,1,1,1,000007,2012
1,1,0,8,0,0,0,1,5,51,179,0,0,0,0,674,1,0,0,0,1,1,1,1,1,1,000007,2013
1,1,0,0,0,1,0,0,4,44,17,0,0,0,0,23,0,1,0,0,1,0,1,1,1,1,000008,2011
1,1,0,1,0,0,0,0,4,45,234,1,0,0,0,1685,0,1,0,0,1,0,1,1,1,1,000008,2012
1,1,0,1,0,1,0,0,4,46,244,1,0,1,1,1622,0,1,0,0,1,0,1,1,1,1,000008,2013
1,1,0,82,0,0,0,5,7,48,2458,0,0,0,0,5697,1,0,0,0,1,0,1,1,1,1,000009,2011
1,1,0,85,4,1,0,6,8,49,-1,0,0,0,0,-1,1,0,0,0,1,0,1,1,1,1,000009,2012
1,1,0,91,5,1,0,7,9,49,-1,0,0,0,0,-1,1,0,0,0,1,0,1,1,1,1,000009,2013
1,1,0,5,0,1,0,1,2,48,-1,0,0,0,0,444,0,0,0,0,0,0,1,1,1,1,000010,2011
1,1,0,5,0,1,0,1,2,49,177,0,0,0,1,420,0,0,0,0,0,0,1,1,1,1,000010,2012
1,1,0,7,3,1,0,0,6,45,338,0,0,0,1,596,0,0,0,0,0,0,1,1,1,1,000010,2013
1,1,0,26,0,1,0,3,3,45,1206,0,0,0,1,2723,1,0,0,0,1,1,1,1,0,1,000011,2011
1,1,0,27,0,1,0,3,3,47,1250,0,0,1,0,2750,1,0,0,0,1,1,1,1,0,1,000011,2012
1,1,0,27,0,1,0,3,3,48,1420,0,0,1,0,3110,1,0,0,0,1,1,1,1,0,1,000011,2013
1,1,0,20,0,0,0,4,4,47,4361,1,-1,1,1,11909,1,1,1,1,1,1,1,1,1,1,000012,2011
1,1,0,20,0,0,1,4,5,48,4268,1,0,0,1,11373,1,1,1,1,1,1,1,1,1,1,000012,2012
1,1,0,17,0,0,0,4,5,49,4217,1,0,0,1,9956,1,1,1,1,1,1,1,,1,1,000012,2013
1,1,0,5,3,0,0,2,4,49,151,1,-1,0,1,177,1,1,0,0,1,0,1,1,1,1,000014,2011
1,1,0,4,3,1,0,2,4,50,151,1,-1,1,0,173,1,1,0,0,1,0,1,1,1,1,000014,2012
1,1,0,4,4,1,0,3,5,49,153,1,-1,1,1,217,1,1,0,0,1,0,1,1,1,1,000014,2013
1,1,0,4,0,1,0,3,8,42,10437,0,0,1,1,19724,1,1,1,0,1,1,1,1,0,1,000016,2011
1,1,0,18,0,1,0,3,8,43,11133,0,0,1,0,20798,1,1,1,0,1,1,1,1,0,1,000016,2012
1,1,0,15,0,1,0,2,8,45,10058,0,0,1,1,20542,1,1,1,0,1,1,1,1,0,1,000016,2013
1,1,0,4,1,1,1,0,2,43,45,0,0,1,1,84,1,0,0,0,0,0,1,1,1,1,000017,2011
1,1,0,4,0,1,1,0,3,44,45,0,0,1,0,79,1,0,0,0,0,0,1,1,1,1,000017,2012
1,1,0,1,0,1,1,1,4,44,35,0,0,1,0,48,1,0,0,0,0,0,1,1,1,1,000017,2013
1,1,0,5,0,0,0,0,2,43,-1,0,0,0,1,27,1,1,0,1,1,1,1,1,1,1,000018,2011
1,1,0,5,0,0,0,0,2,34,7,0,0,0,0,27,1,1,0,1,1,1,1,1,1,1,000018,2012
1,1,0,5,0,0,1,0,2,45,7,0,0,0,0,31,1,1,0,1,1,1,1,1,1,1,000018,2013
1,1,0,8,0,1,0,2,4,47,283,0,0,0,1,653,1,1,1,0,1,0,1,1,1,1,000019,2011
1,1,0,11,0,1,0,2,5,43,306,0,0,1,1,712,1,1,1,0,1,0,1,1,1,1,000019,2012
1,1,0,11,0,1,1,2,5,44,377,0,0,1,0,820,1,1,1,0,1,0,1,1,1,1,000019,2013
1,1,0,4,-1,0,0,-1,-1,-1,156,0,-1,0,1,1004,1,1,0,1,1,0,1,1,0,1,000020,2011
1,1,0,4,1,1,1,1,2,38,153,1,0,0,1,1060,1,1,0,1,1,0,1,1,0,1,000020,2012
1,1,0,6,0,0,1,1,3,37,145,1,0,0,1,1047,1,1,0,1,1,0,1,1,0,1,000020,2013
1,1,1,11,4,1,0,5,6,47,7835,0,1,0,0,18688,1,1,1,0,1,0,1,1,1,1,000021,2011
1,1,1,11,5,1,1,5,7,48,6075,0,1,1,0,17279,1,1,1,0,1,0,1,1,1,1,000021,2012
1,1,1,11,5,1,0,5,7,49,5727,0,1,1,0,14881,1,1,1,0,1,0,1,1,1,1,000021,2013
1,1,0,8,0,0,0,2,5,45,-1,0,0,0,1,1813,1,1,1,0,1,0,1,1,1,1,000022,2011
1,1,0,10,0,0,0,2,5,43,-1,0,0,0,1,1795,1,1,1,0,1,0,1,1,1,1,000022,2012
1,1,1,13,0,0,0,1,4,47,-1,0,,0,1,1781,1,1,1,0,1,0,1,1,1,1,000022,2013
1,1,0,16,-1,0,0,1,4,44,-1,0,-1,0,1,-1,1,0,0,1,1,0,1,1,1,1,000023,2011
1,1,0,17,0,0,0,1,5,43,470,0,0,1,1,1284,1,0,0,1,1,0,1,1,1,1,000023,2012
1,1,0,17,0,1,0,2,5,41,428,0,1,1,1,1233,1,0,0,1,1,0,1,1,1,1,000023,2013
1,1,0,82,-1,1,1,7,10,49,4608,0,0,1,1,10041,1,1,1,1,1,1,1,1,1,1,000024,2011
1,1,0,115,-1,1,1,7,10,50,5422,0,0,1,0,12855,1,1,1,1,1,1,1,1,1,1,000024,2012
1,1,0,143,0,1,0,9,12,49,6205,0,0,0,1,15173,1,1,1,1,1,1,1,1,1,1,000024,2013
1,1,0,16,5,0,0,2,5,48,209,0,0,0,1,599,0,0,0,0,0,0,1,1,1,1,000025,2011
1,1,0,15,5,0,0,2,5,49,293,0,0,0,0,578,0,0,0,0,0,0,1,1,1,1,000025,2012
